GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
util-service,com.painscript.util.helper,NotificationParameter,48,0,0,0,8,0,3,0,3,0
util-service,com.painscript.util.helper,DynamicNotificationHelper,3,209,2,18,1,42,3,11,1,3
util-service,com.painscript.util.serviceimpl,UtilServiceImpl,249,987,45,59,37,222,43,33,1,23
util-service,com.painscript.util.controller,ExceptionControllerAdvice,0,50,0,2,0,11,0,3,0,2
util-service,com.painscript.util.controller,UtilController,26,539,5,7,6,88,5,25,0,24
util-service,com.painscript.util.controller,HealthController,0,20,0,0,0,6,0,3,0,3
util-service,com.painscript.util.exception,PainscriptBusinessException,4,10,0,0,2,4,1,2,1,2
util-service,com.painscript.util.repositoryimpl,UtilRepositoryImpl,15,342,11,19,6,82,11,10,0,6
