GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
audit-log-service,com.painscript.auditlog.controller,ExceptionControllerAdvice,0,50,0,2,0,11,0,3,0,2
audit-log-service,com.painscript.auditlog.controller,HealthController,0,20,0,0,0,6,0,3,0,3
audit-log-service,com.painscript.auditlog.controller,AuditLogController,0,24,0,0,0,5,0,2,0,2
audit-log-service,com.painscript.auditlog.repositoryimpl,AuditLogRepositoryImpl,9,57,0,0,3,18,0,3,0,3
audit-log-service,com.painscript.auditlog.exception,PainscriptBusinessException,4,10,0,0,2,4,1,2,1,2
audit-log-service,com.painscript.auditlog.serviceimpl,AuditLogServiceImpl,0,8,0,0,0,3,0,2,0,2
